crop,state,date,avg_modal_price
beans,Gujarat,2023-07-31,10350.0
beans,Karnataka,2023-07-31,3844.4117647058824
beans,Karnataka,2023-08-31,5116.933333333333
beans,Kerala,2023-07-31,6125.0
beans,Kerala,2023-08-31,5850.0
beans,Kerala,2025-05-31,7350.0
beans,Madhya Pradesh,2023-07-31,2800.0
beans,Maharashtra,2023-07-31,4936.363636363636
beans,Maharashtra,2023-08-31,4612.5
beans,Meghalaya,2023-08-31,82000.0
beans,Nagaland,2023-07-31,9816.666666666666
beans,Nagaland,2023-08-31,7600.0
beans,Nagaland,2025-05-31,8100.0
beans,Odisha,2023-07-31,5550.0
beans,Odisha,2023-08-31,6800.0
beans,Odisha,2025-05-31,6800.0
beans,Punjab,2023-08-31,6500.0
beans,Uttrakhand,2023-08-31,7700.0
beans,Uttrakhand,2025-05-31,500.0
beetroot,Chattisgarh,2023-07-31,2300.0
beetroot,Gujarat,2023-07-31,1525.0
beetroot,Gujarat,2023-08-31,1500.0
beetroot,Gujarat,2025-05-31,1600.0
beetroot,Haryana,2023-08-31,2000.0
beetroot,Himachal Pradesh,2023-07-31,3850.0
beetroot,Himachal Pradesh,2023-08-31,3500.0
beetroot,Himachal Pradesh,2025-05-31,3566.6666666666665
beetroot,Jammu And Kashmir,2023-08-31,2000.0
beetroot,Karnataka,2023-07-31,1895.3
beetroot,Karnataka,2023-08-31,1795.4545454545455
beetroot,Kerala,2023-07-31,3891.7241379310344
beetroot,Kerala,2023-08-31,3935.769230769231
beetroot,Kerala,2025-05-31,4100.0
beetroot,Madhya Pradesh,2023-08-31,2000.0
beetroot,Maharashtra,2023-07-31,1520.0
beetroot,Maharashtra,2023-08-31,1870.0
beetroot,Meghalaya,2023-07-31,7750.0
beetroot,Meghalaya,2023-08-31,50500.0
beetroot,Nct Of Delhi,2023-08-31,1150.0
beetroot,Odisha,2025-05-31,4000.0
beetroot,Punjab,2023-07-31,2350.0
beetroot,Punjab,2023-08-31,1800.0
beetroot,Punjab,2025-05-31,1700.0
beetroot,Rajasthan,2023-07-31,1400.0
beetroot,Rajasthan,2023-08-31,1400.0
beetroot,Telangana,2023-07-31,3114.285714285714
beetroot,Telangana,2023-08-31,2500.0
beetroot,Telangana,2025-05-31,1787.5
bengal gram dal (chana dal),Karnataka,2023-07-31,6750.0
bengal gram dal (chana dal),Karnataka,2023-08-31,6800.0
bengal gram dal (chana dal),Maharashtra,2023-07-31,6200.0
bengal gram dal (chana dal),Maharashtra,2023-08-31,6200.0
bengal gram dal (chana dal),Uttar Pradesh,2023-07-31,6309.25
bengal gram dal (chana dal),Uttar Pradesh,2023-08-31,6304.347826086957
bengal gram dal (chana dal),Uttar Pradesh,2025-05-31,7630.0
bengal gram dal (chana dal),West Bengal,2023-08-31,7500.0
betal leaves,Meghalaya,2023-07-31,21083.333333333332
betal leaves,Meghalaya,2023-08-31,61500.0
betal leaves,Odisha,2023-07-31,16433.333333333332
betal leaves,Odisha,2023-08-31,16500.0
betal leaves,West Bengal,2023-08-31,23750.0
